67|Pinchila|19-7-1998|Dompé, Hernán|Argentina|Mármol travertino|67.jpg|Av. De los Inmigrantes 1001 - Museum |-27.43761,-58.981468|Premio del Público - Gran Premio de Honor|||
68|Guardiana del sol||Dompé, Hernán|Argentina|Cemento patinado|68.jpg|Salta 185|-27.452094,-58.99077||||
69|Cuchillo||Dompé, Hernán|Argentina|Madera|69.jpg|Roque Saenz Peña 180 - Secheep|-27.454784,-58.985703|Tercer Premio - Primer Concurso Trienal Internacional de Escultura en Madera|||
70|Nave con rayo|25-7-2006|Dompé, Hernán|Argentina|Madera|70.jpg|Sala de Exposición MUSEUM||Segundo Puesto y Premio de Escultores - Segundo Concurso Internacional de Escultura en Madera|||
71|Construyamos juntos el mundo que soñamos|6-11-1996|Eidman, Mimo|Argentina|Metal|71.jpg|Arbo y Blanco 260|-27.457771,-58.983555||||
73|Chaco|26-6-1996|Eidman, Mimo|Argentina|Chapa y mármol|73.jpg|Av. Sarmiento 199|-27.449619,-58.984925||||
74|Luana|5-3-1999|Eidman, Mimo|Argentina|Mármol travertino, metal, granito|74.jpg|Santa Fe 560|-27.445175,-58.989625||||
75|Reflexión|28-12-1999|Eidman, Mimo|Argentina|Metal|75.jpg|Marcelo T. De Alvear 751|-27.444554,-58.992219||||
76|Madre|21-10-1962|Mariscal, José|Argentina|Madera de quebracho|76.jpg|Plaza España|-27.458672,-58.98632||||
77|Arbol de la vida|27-3-1999|Eidman, Mimo|Argentina|Cemento y metal|77.jpg|Av. Vélez Sárfield 400 al 500|-27.454684,-58.976168||||
78|Monumento al maestro||Eidman, Mimo y Fabriciano|Argentina|Mural cemento|78.jpg|Plaza 25 de Mayo|-27.450752,-58.987209||||
79|La noche|8-11-1968|Eloisegui, Rubén|Argentina|Piedra roja reconstituída|79.jpg|Av. Alberdi 175|-27.452523,-58.987943||||
80|Libertad|0-0-1976|Fabriciano|Argentina|Cemento|80.jpg|Arturo Illía 270|-27.454862,-58.985915|Primer premio - LXV Salón Nacional|||
81|Encadenamiento diagonal|26-6-1995|Fabriciano|Argentina|Mármol dolomita|81.jpg|Julio A. Roca 1741|-27.437977,-59.003242||||
